country,provider,count,matched,entity_id,has_geo,locality,latitude,longitude,wikidata_uri
germany,Toy Museum of the City of Nuremberg,80306,True,http://data.europeana.eu/organization/2157,True,Nürnberg,49.4545935,11.0742989,
germany,Berlin-Brandenburg Economic Archive,72335,False,,,,,,
germany,DFF – German Film Institute & Film Museum,71678,True,http://data.europeana.eu/organization/4254,True,Frankfurt am Main,50.1050552,8.6776335,
germany,Karlsruhe Municipal Archives,71356,True,http://data.europeana.eu/organization/4831,True,Karlsruhe,49.0073032,8.4091006,http://www.wikidata.org/entity/Q21040660
spain,Virtual Library of Historical Press,1735320,True,http://data.europeana.eu/organization/4045,False,,,,http://www.wikidata.org/entity/Q17405606
spain,National Library of Spain,664410,True,http://data.europeana.eu/organization/4500,True,Madrid,40.4237879,-3.6902452,http://www.wikidata.org/entity/Q750403
spain,Galiciana: Digital Library of Galicia,336061,True,http://data.europeana.eu/organization/3811,True,Santiago de Compostela,42.8698709,-8.5269487,
spain,Digital Memory of Catalonia,286512,True,http://data.europeana.eu/organization/3010,True,Barcelona,41.3873518,2.111913,
spain,Galiciana. Arquivo Dixital de Galicia,234326,False,,,,,,
spain,Archive of Old Catalan Magazines,229974,True,http://data.europeana.eu/organization/43,True,Barcelona,41.3807385,2.1699868,
spain,Ajuntament de Girona,208078,False,,,,,,
spain,Digital Library of Andalusia,145620,False,,,,,,
spain,Maresía: Prensa digitalizada y Patrimonio documental,141919,False,,,,,,
spain,Canary Islands Historical Photography Archive,121890,True,http://data.europeana.eu/organization/3774,False,,,,
spain,Complutense University of Madrid,121238,True,http://data.europeana.eu/organization/1288,True,Madrid,40.4454368,-3.7299424,
spain,Digital Library of Castilla y León,119704,True,http://data.europeana.eu/organization/4209,True,Valladolid,41.6571988,-4.7302183,http://www.wikidata.org/entity/Q27383759
spain,Library of the University of Las Palmas,115458,True,http://data.europeana.eu/organization/1965,True,"Las Palmas, Gran Canaria",28.147576,-15.4302769,
spain,Cityhall of Murcia. Municipal Archive,104650,True,http://data.europeana.eu/organization/4138,True,Murcia,37.9835018,-1.1330047,
spain,Centro de Estudios de Castilla - La Mancha,94223,False,,,,,,
spain,TV3 Catalan Television,89148,True,http://data.europeana.eu/organization/1847,True,Sant Joan Despí,41.3744332,2.069125,
spain,Documentary Repository of the University of Salamanca,86467,True,http://data.europeana.eu/organization/3470,True,Salamanca,40.9614829,-5.6673456,
spain,Royal Botanic Garden of Madrid,74638,True,http://data.europeana.eu/organization/4153,True,Madrid,40.4111064,-3.6911267,http://www.wikidata.org/entity/Q1794858
spain,Foundation Virtual Library Miguel de Cervantes,70971,True,http://data.europeana.eu/organization/4436,False,,,,
spain,Digital Library of Madrid,69472,True,http://data.europeana.eu/organization/4133,False,,,,
netherlands,Naturalis Biodiversity Center,4601504,True,http://data.europeana.eu/organization/4513,True,Leiden,52.1647779,4.4732128,http://www.wikidata.org/entity/Q641676
netherlands,"KB, National Library of the Netherlands",987234,True,http://data.europeana.eu/organization/4385,False,The Hague,,,http://www.wikidata.org/entity/Q1526131
netherlands,Cultural Heritage Agency of the Netherlands,526228,True,http://data.europeana.eu/organization/4359,True,Amersfoort,52.1580763,5.3833285,
netherlands,Rijksmuseum,341407,True,http://data.europeana.eu/organization/4579,True,Amsterdam,52.3599976,4.8852188,http://www.wikidata.org/entity/Q190804
netherlands,National Archives of the Netherlands,283470,True,http://data.europeana.eu/organization/2618,True,The Hague,52.0806214,4.3268303,http://www.wikidata.org/entity/Q1857081
netherlands,Internet Archive,176784,True,http://data.europeana.eu/organization/3395,True,"San Francisco, California",37.782321,-122.471637,http://www.wikidata.org/entity/Q2116305
netherlands,International Institute of Social History,165349,True,http://data.europeana.eu/organization/4394,True,Amsterdam,52.3689397,4.9392354,http://www.wikidata.org/entity/Q1667757
netherlands,The Utrecht Archives,159981,True,http://data.europeana.eu/organization/1118,True,Utrecht,52.0890819,5.1228166,
netherlands,National Museum of Antiquities,141529,True,http://data.europeana.eu/organization/2236,True,Leiden,52.1584696,4.4855152,http://www.wikidata.org/entity/Q1860378
netherlands,Historical Information Center of Brabant,118373,True,http://data.europeana.eu/organization/4469,True,Hertogenbosch,51.6951069,5.3029478,
netherlands,Netherlands Institute for Sound & Vision,98888,True,http://data.europeana.eu/organization/4538,True,Hilversum,52.235459,5.173057,http://www.wikidata.org/entity/Q1131877
netherlands,Association De Hollandsche Molen,94187,True,http://data.europeana.eu/organization/1718,True,Amsterdam,52.3662772,4.9399952,
netherlands,Museon-Omniversum,93077,False,,,,,,
netherlands,Municipal Archives of Zaanstad,85508,True,http://data.europeana.eu/organization/3531,True,Zaandam,52.4382591,4.8148877,
netherlands,Gooi en Vechtstreek Archive,79443,True,http://data.europeana.eu/organization/3566,True,Naarden,52.2964344,5.1616623,
netherlands,Netherlands Institute for Military History,68648,True,http://data.europeana.eu/organization/2476,True,The Hague,52.1319244,5.2761886,http://www.wikidata.org/entity/Q1893708
netherlands,Historic Center Limburg,62704,True,http://data.europeana.eu/organization/3564,True,Maastricht,50.8457819,5.6926732,http://www.wikidata.org/entity/Q21004453
netherlands,IMSLP/Petrucci Music Library,61552,False,,,,,,
netherlands,City Archives Breda,60870,True,http://data.europeana.eu/organization/2136,True,Breda,51.584703,4.780068,
netherlands,St. Catherine's Convent Museum,60795,False,,,,,,
portugal,Institute for Tropical Scientific Research,65666,True,http://data.europeana.eu/organization/3368,True,Oeiras,38.7015447,-9.3127356,
portugal,National Library of Portugal,35785,True,http://data.europeana.eu/organization/1339,True,Lisbon,38.7510738,-9.1525104,http://www.wikidata.org/entity/Q245966
portugal,Portuguese Army Library,13120,True,http://data.europeana.eu/organization/3737,True,Lisbon,38.7135412,-9.1269175,
portugal,Azores Regional Directorate for Culture,5913,True,http://data.europeana.eu/organization/3824,True,Angra do Heroísmo,38.6558611,-27.2156682,
portugal,University of Porto,5111,True,http://data.europeana.eu/organization/4498,True,Porto,41.1465479,-8.6156998,
portugal,Calouste Gulbenkian Foundation,3415,True,http://data.europeana.eu/organization/3634,False,Lisboa,,,
portugal,MUDE – Museu do Design,1927,False,,,,,,
portugal,Assembly of the Republic - Library,1663,True,http://data.europeana.eu/organization/5325,True,Lisbon,38.7125529,-9.1538565,http://www.wikidata.org/entity/Q740564
portugal,Fernando Pessoa's House,1210,False,,,,,,
portugal,University of Coimbra,1155,True,http://data.europeana.eu/organization/1909,True,Coimbra,40.2076394,-8.4260932,
portugal,Lisbon's Film & Theatre School,774,False,,,,,,
portugal,Madeira Archives and Library,685,True,http://data.europeana.eu/organization/822,True,Funchal,32.6661989,-16.933144,
portugal,Cinemateca Portuguesa - Museu do cinema,654,False,,,,,,
portugal,Radio and Television of Portugal,504,True,http://data.europeana.eu/organization/2281,True,Lisbon,38.7590891,-9.1179905,
portugal,Madeira Arts Library,470,True,http://data.europeana.eu/organization/947,True,Funchal,32.6440322,-16.9224104,
portugal,Lisbon Newspaper Library,468,True,http://data.europeana.eu/organization/3494,True,Lisboa,38.7548267,-9.1726551,
portugal,April 25th Documentation Center of Coimbra University,337,True,http://data.europeana.eu/organization/3996,True,Coimbra,40.2138778,-8.4312511,
portugal,The Commission for Citizenship and Gender Equality,311,True,http://data.europeana.eu/organization/3834,True,Lisbon,38.7132443,-9.1663617,
portugal,Division of Archives and Library of the Ministry of Foreign Affairs,158,True,http://data.europeana.eu/organization/2911,True,Lisbon,38.7073246,-9.170275,
portugal,Portuguese Court of Auditors,119,True,http://data.europeana.eu/organization/914,True,Lisboa,38.7400193,-9.14675,
