country,provider,count,city,latitude,longitude,source
Italy,Turin Gallery for Modern and Contemporary Art,29395,Turin,45.065010771493675,7.66921379635602,manual
France,National and University Library of Strasbourg,21320,Strasbourg,48.5872587063354,7.755901183065034,manual
Italy,Library of the S. Pietro a Majella Conservatory,20154,Naples,40.849630767959596,14.252446682637897,manual
Italy,Provincial Library Magna Capitana,13065,Foggia,41.45671868731526,15.558523953833472,manual
Italy,Estense University Library,12372,Modena,44.64842579381791,10.920992367497412,manual
France,Rhône-Alpes Laboratory for Historical Research,10046,Lyon,45.7334134679147,4.833417509886817,manual
Portugal,MUDE – Museu do Design,1927,Lisbon,38.70924101252115,-9.136938317468571,manual
Portugal,Fernando Pessoa's House,1210,Lisbon,38.716820396673036,-9.162572105823484,manual
Portugal,Lisbon's Film & Theatre School,774,Amadora,38.77728867945194,-9.234926049524557,manual
Portugal,Cinemateca Portuguesa - Museu do cinema,654,Lisbon,38.721224635535016,-9.14865910212588,manual
