country,provider,count
spain,Manuel Lekuona Municipal Library of Oiartzun,90
spain,Asturias Railway Museum,83
spain,Juan San Martín Municipal Library of Eibar,83
spain,Government of Catalonia. Historical Archive of Tarragona,80
spain,Natural Archaeological Park of the Campa Torres,77
spain,Museum of the Forum of Caesaraugusta,69
spain,Picasso Museum. Eugenio Arias Collection,66
spain,Museum of Health and Public Hygiene,65
spain,National Library of Spain. Historical-Artistic Collection,64
spain,Museum of Burgos,62
spain,National Museum of Science and Technology,55
spain,Numantine Museum of Soria,55
spain,Spanish Cinemathèque,54
spain,Museum of the Public Baths of Caesaraugusta,36
spain,Catalan Cultural Heritage Agency,33
spain,Museum of the Roman Villa of Veranes,29
spain,Madrazo Collection. Community of Madrid,28
spain,Pallars Sobirà County Archives,28
spain,Railway Museum of Madrid,28
spain,Digitalizacio,27
spain,Ermua Municipal Library,27
spain,Arte Ederren Bilboko Museoa,24
spain,Interpretation Centre of Nuevo Baztán,24
spain,Museum of the River Port of Caesaraugusta,23
spain,Museum of the Roman Baths of Campo Valdés,21
spain,Joan Capdevila Nogués Fund,20
spain,Integra Tecnología,17
spain,General Archive of the Administration,15
spain,Government of Catalonia. Conca de Barberà County Archives,14
spain,Muskizko Udal-Liburutegia,13
spain,"National Historical Central Archives, Bucharest",13
spain,Artium Museoa. Euskal Herriko Arte Garaikidearen Museoa,12
spain,Temple of Debod,12
spain,Valencian Institute of Cinematography,9
spain,Sanctuary of Loyola,7
spain,Euskariana,6
spain,Government of Catalonia. Segarra County Archives,6
spain,Government of Catalonia. Ripollès County Archives,4
spain,Parish of Santa María del Pi and Sant Just,4
spain,Bilboko Euskal Museoa,2
spain,Digital Library Memory of Madrid,2
spain,Armagintzaren Museoa,1
spain,Asociacion Zamora Protohistorica,1
spain,Documentation Center of Historical Memory,1
spain,Historical Library of Santa Cruz,1
spain,Instituto de Turismo de España  (Turespaña),1
