provider,provider_category,classification_source
Brandenburg Main State Archive,library/archive,provider_name
International Maritime Museum,art/history museum,provider_name
Deutsche Welle,media/broadcast organization,wikidata_description
GESIS - Leibniz Institute for the Social Sciences. Library Cologne,library/archive,provider_name
Architecture Museum at Technical University of Munich,art/history museum,provider_name
Herbarium Göttingen (GOET),natural history/science institution,provider_name
The Photographic Archive of the Zentralinstitut für Kunstgeschichte,library/archive,provider_name
Frankfurt University Library,library/archive,provider_name
"Dresden State Art Collections. Museum of Prints, Drawings and Photographs",art/history museum,provider_name
"Kunstbibliothek, Staatliche Museen zu Berlin",library/archive,provider_name
Leibniz Institute for Regional Geography,academic/research institution,wikidata_description
"Bibliotheca Hertziana, Max Planck Institute for Art History Rome. Photographic Collection",art/history museum,provider_name
University Library Freiburg,library/archive,provider_name
Media library of Art and Visual History of Humboldt University of Berlin,library/archive,provider_name
Germanisches National Museum,art/history museum,provider_name
Badisches Landesmuseum Karlsruhe,art/history museum,wikidata_description
Sorbian Cultural Archive,library/archive,provider_name
State Association of Fine Arts Saxony eV,other,unmatched
Bauhaus University Weimar. University Library,library/archive,provider_name
Dresden State Art Collections. Numismatic Collection,art/history museum,provider_name
Bildarchiv Volkskundliche Kommision für Westfalen,other,unmatched
State Office for Heritage Management and Archaeology Saxony-Anhalt - State Museum for Prehistory,art/history museum,provider_name
"Museum for Pre- and Early History, Staatliche Museen zu Berlin",art/history museum,provider_name
LWL - Museum for Art and Culture - Westphalian State Museum of Art & Cultural History,art/history museum,provider_name
"Kupferstichkabinett, Staatliche Museen zu Berlin",art/history museum,provider_name
Prussian Palaces and Gardens Foundation Berlin-Brandenburg,other,unmatched
Federal Waterways Engineering and Research Institute,academic/research institution,provider_name
"Natural History Museum, Berlin",natural history/science institution,provider_name
Field Museum of Natural History,other,name_description_conflict
Heinrich-Barth-Institut e.V.,other,unmatched
Kassel University Library,library/archive,provider_name
Leipzig University Library,library/archive,provider_name
Kalliope,library/archive,wikidata_description
Saxon State and University Library Dresden,library/archive,provider_name
"Museum of European Cultures, Staatliche Museen zu Berlin",art/history museum,provider_name
Art collections of the Veste Coburg,art/history museum,provider_name
"Institute of Art History and Archaeology of Europe, Martin Luther University Halle Wittenberg",art/history museum,provider_name
Berlin-Brandenburg Academy of Sciences and Humanities,academic/research institution,provider_name
Kunstpalast,other,unmatched
Montanhistorisches Dokumentationszentrum,library/archive,wikidata_sparql_fallback
Dresden State Art Collections. Porcelain collection,art/history museum,provider_name
"University of Graz, Institute of Plant Sciences - Herbarium GZU",natural history/science institution,provider_name
Hirschfelde Power Station Foundation,other,unmatched
Museum of Islamic Art,art/history museum,provider_name
Goethe University Frankfurt,academic/research institution,provider_name
Dresden State Art Collections. Sculpture collection,art/history museum,provider_name
German National Library of Medicine,library/archive,provider_name
Gotha Research Library,library/archive,provider_name
"BBAW, Corpus Nummorum",other,unmatched
"Collection of Classical Antiquities, Berlin State Museums",other,unmatched
Technoseum,art/history museum,wikidata_description
Museum of Things,art/history museum,provider_name
German Exile Archive,library/archive,provider_name
Baden State Library,library/archive,provider_name
Leibniz Institute for the German Language - Library,library/archive,provider_name
Schöneweide Industrial Museum,art/history museum,provider_name
Art Collection of the University Göttingen,art/history museum,provider_name
FHXB Friedrichshain-Kreuzberg Museum,art/history museum,provider_name
Deutsche Kinemathek - Museum für Film und Fernsehen,other,name_description_conflict
"Eberhard Karls Universität Tübingen, UB - Universitätsarchiv",library/archive,wikidata_sparql_fallback
Stiftung Domäne Dahlem - Estate and Museum,art/history museum,provider_name
"Museum of Arts and Crafts, Hamburg",art/history museum,provider_name
Kiel University Library,library/archive,provider_name
University and State Library Darmstadt,library/archive,provider_name
TIB - Leibniz Information Centre for Science and Technology and University Library,library/archive,provider_name
"Deutsches Museum, Archiv",library/archive,provider_name
Bielefeld University Library,library/archive,provider_name
Westphalian Folk Song and Sound Archive,library/archive,provider_name
Zoological Research Museum Koenig,art/history museum,provider_name
Münchner Stadtmuseum,art/history museum,wikidata_description
Theatermuseum der Landeshauptstadt Düsseldorf,other,unmatched
Mecklenburg-Vorpommern state library,library/archive,provider_name
Allied Museum,art/history museum,provider_name
Gleimhaus - Museum of the German Enlightenment,art/history museum,provider_name
"Central Archive, Berlin State Museums",library/archive,provider_name
Dresden State Art Collections. Museum of Decorative Arts,art/history museum,provider_name
Virtual Library of Historical Press,library/archive,provider_name
National Library of Spain,library/archive,provider_name
Galiciana: Digital Library of Galicia,library/archive,provider_name
Digital Memory of Catalonia,other,unmatched
Galiciana. Arquivo Dixital de Galicia,library/archive,provider_name
Archive of Old Catalan Magazines,library/archive,provider_name
Ajuntament de Girona,government/administrative body,provider_name
Digital Library of Andalusia,library/archive,provider_name
Maresía: Prensa digitalizada y Patrimonio documental,other,unmatched
Canary Islands Historical Photography Archive,library/archive,provider_name
Complutense University of Madrid,academic/research institution,provider_name
Digital Library of Castilla y León,library/archive,provider_name
Library of the University of Las Palmas,library/archive,provider_name
Cityhall of Murcia. Municipal Archive,library/archive,provider_name
Centro de Estudios de Castilla - La Mancha,other,unmatched
TV3 Catalan Television,media/broadcast organization,provider_name
Documentary Repository of the University of Salamanca,library/archive,provider_name
Royal Botanic Garden of Madrid,natural history/science institution,provider_name
Foundation Virtual Library Miguel de Cervantes,library/archive,provider_name
Digital Library of Madrid,library/archive,provider_name
The Government of Catalonia,government/administrative body,provider_name
National Archaeological Museum,art/history museum,provider_name
Cartographic and Geological Institute of Catalonia,government/administrative body,wikidata_sparql_fallback
Polytechnic University of Valencia,academic/research institution,provider_name
Spanish National Research Council,academic/research institution,provider_name
Image and Sound Archive of Menorca,library/archive,provider_name
Regira. Cooperative Repository of Diputació de Girona,library/archive,provider_name
Postal Cabinet Museum of Barcelona (Marull’s Collection),art/history museum,provider_name
Biblioteca Diputación de Almería,library/archive,provider_name
Tomás Navarro Tomás Library,library/archive,provider_name
Museum of Costume. Ethnological Heritage Research Centre,art/history museum,provider_name
Patrimonio Digital de Castilla-La Mancha,other,unmatched
Toledo Municipal Archives,library/archive,provider_name
Virtual Library of Bibliographical Heritage,library/archive,provider_name
Autonomous University of Barcelona,academic/research institution,provider_name
Andalusian Performing Arts Research and Resource Center,academic/research institution,provider_name
Library of the Bar Association of Madrid,library/archive,provider_name
Library of Asturias,library/archive,provider_name
Repositorio Institucional del Banco de España,library/archive,provider_name
Digital Library Real Academia de la Historia,library/archive,provider_name
Virtual Library of La Rioja,library/archive,provider_name
Image Archive of Castilla La Mancha,library/archive,provider_name
Sorolla Museum,art/history museum,provider_name
Polytechnic University of Catalonia,academic/research institution,provider_name
Valencian Digital Library,library/archive,provider_name
UdG Digital Repository,library/archive,provider_name
Natural Science Museum of Barcelona,natural history/science institution,provider_name
National Museum of Decorative Arts,art/history museum,provider_name
Research deposit of the University of Seville,academic/research institution,provider_name
Jaume I University Repository,library/archive,provider_name
Museum of America,art/history museum,provider_name
Ignacio Larramendi Foundation,other,unmatched
Institutional Climatological and Meteorological Archive,library/archive,provider_name
Virtual Library of Aragon,library/archive,provider_name
Museo del Prado digital library,library/archive,provider_name
Biblioteca Virtual de la Real Academia Nacional de Farmacia,library/archive,provider_name
The Digital Network of Museum Collections in Spain,art/history museum,provider_name
University of Lleida,academic/research institution,provider_name
Archive of the Crown of Aragon,library/archive,provider_name
Navarra Digital Library,library/archive,provider_name
City Archive of Arganda del Rey,library/archive,provider_name
National Museum of Roman Art,art/history museum,provider_name
