provider,country,count,provider_category,classification_source
Gooi en Vechtstreek Archive,netherlands,79443,library/archive,provider_name
Netherlands Institute for Military History,netherlands,68648,government/administrative body,wikidata_description
Historic Center Limburg,netherlands,62704,library/archive,manual_override
IMSLP/Petrucci Music Library,netherlands,61552,audiovisual/film archive,provider_name
City Archives Breda,netherlands,60870,library/archive,provider_name
St. Catherine's Convent Museum,netherlands,60795,art/history museum,provider_name
Museum Rotterdam,netherlands,60777,art/history museum,provider_name
Paul Van Riel,netherlands,55165,other,confirmed_fix
Batavialand,netherlands,53928,art/history museum,wikidata_description
Historic Center Leeuwarden,netherlands,53417,library/archive,manual_override
"Municipal Archive, Schiedam",netherlands,52926,library/archive,provider_name
Municipal Archives of Weert,netherlands,52654,library/archive,provider_name
KNAW-DANS,netherlands,48118,academic/research institution,manual_override
Regional Archive Nijmegen,netherlands,47924,library/archive,provider_name
City Archives' s-Hertogenbosch,netherlands,45614,library/archive,provider_name
CODA Museum,netherlands,44628,art/history museum,provider_name
CARARE,netherlands,40920,academic/research institution,manual_override
Municipal Archives of Ede en Scherpenzeel,netherlands,39824,library/archive,provider_name
Zutphen Regional Archive,netherlands,31206,library/archive,provider_name
Regional Archive Langstraat Heusden Altena,netherlands,27321,library/archive,provider_name
Rijksmuseum Boerhaave,netherlands,27257,art/history museum,wikidata_description
Municipal Archives of Tholen,netherlands,27160,library/archive,provider_name
Municipal Archives of Barneveld,netherlands,27145,library/archive,provider_name
Zuiderzee Museum,netherlands,20552,art/history museum,provider_name
The Language Archive,netherlands,18392,library/archive,provider_name
National Museum of World Cultures Foundation,netherlands,17547,art/history museum,provider_name
Heritage Rijssen-Holten,netherlands,17221,art/history museum,manual_override
Digital Library for Dutch Literature,netherlands,17043,library/archive,provider_name
The province of North Holland,netherlands,13273,government/administrative body,provider_name
International Military Tribunal at Nuremberg,netherlands,9629,other,manual_override
Leiden University Libraries,netherlands,9087,library/archive,provider_name
Amsterdam Museum,netherlands,8046,art/history museum,provider_name
Loevestein Castle,netherlands,7692,art/history museum,provider_name
City Museum Zutphen,netherlands,6850,art/history museum,provider_name
Textile Research Centre Leiden,netherlands,6737,academic/research institution,provider_name
Regional Archives Tilburg,netherlands,6569,library/archive,provider_name
Geldersch Landschap & Kasteelen,netherlands,5699,other,manual_override
VU University Amsterdam Library,netherlands,5008,library/archive,provider_name
Fries Museum,netherlands,4736,art/history museum,provider_name
Valkhof Museum,netherlands,3553,art/history museum,provider_name
"The Dutch Olympic Committee, Dutch Sports Federation",netherlands,2738,other,manual_override
National Organ Museum,netherlands,2707,art/history museum,provider_name
EYE Film Museum,netherlands,1595,audiovisual/film archive,manual_override
IHLIA LGBTI Heritage,netherlands,1558,library/archive,wikidata_description
Castle Huis Bergh,netherlands,1552,art/history museum,provider_name
Textile Museum,netherlands,1513,art/history museum,provider_name
Heritage Leiden,netherlands,1314,library/archive,wikidata_description
Anne Frank House,netherlands,1170,art/history museum,wikidata_description
Arnhem museum,netherlands,1134,art/history museum,provider_name
De Looierij,netherlands,1004,art/history museum,wikidata_description
Leo Smit foundation,netherlands,863,academic/research institution,manual_override
Mauritshuis,netherlands,832,art/history museum,wikidata_description
Museum Krona,netherlands,768,art/history museum,provider_name
Airborne Museum 'Hartenstein',netherlands,738,art/history museum,provider_name
Freedom Museum,netherlands,547,art/history museum,provider_name
Historische Kring Huessen,netherlands,465,art/history museum,wikidata_sparql_fallback
Deelen Airbase Museum,netherlands,399,art/history museum,provider_name
Museum Klok & Peel,netherlands,369,art/history museum,provider_name
Groningen Historic Churches Foundation,netherlands,315,other,manual_override
Archive and Documentation Center for RK Friesland,netherlands,246,library/archive,provider_name
Museum Het Pakhuis,netherlands,236,art/history museum,provider_name
Historische Kring Midden-Betuwe,netherlands,218,art/history museum,manual_override
Kijk & Luistermuseum,netherlands,198,art/history museum,wikidata_description
Tilburg University,netherlands,195,academic/research institution,provider_name
Streekmuseum de Roode Tooren,netherlands,159,art/history museum,wikidata_description
Huis van Hilde,netherlands,139,art/history museum,wikidata_sparql_fallback
Water board of Schieland and the Krimpenerwaard,netherlands,137,government/administrative body,manual_override
Zaans Museum,netherlands,119,art/history museum,provider_name
Historical Image Archive for Migrants,netherlands,112,library/archive,provider_name
Museum Nijkerk,netherlands,108,art/history museum,provider_name
Rauws Wicker Chair Collection,netherlands,44,other,manual_override
Museumpark Orientalis,netherlands,40,art/history museum,wikidata_sparql_fallback
Museum Tweestromenland,netherlands,31,art/history museum,provider_name
Provinciaal Depot Bodemvondsten,netherlands,29,other,manual_override
Museum De Scheper,netherlands,26,art/history museum,provider_name
Elisabeth Weeshuis Museum,netherlands,24,art/history museum,provider_name
European Fashion Heritage Association,netherlands,12,other,manual_override
Stichting tot Behoud van den Doornenburg,netherlands,11,other,manual_override
Centraal Museum Utrecht,netherlands,11,art/history museum,provider_name
Heemkundekring Bergh,netherlands,6,other,manual_override
Historische Vereniging Voorst,netherlands,4,government/administrative body,wikidata_description
Kunstmuseum Den Haag,netherlands,2,art/history museum,wikidata_description
Bonnefantenmuseum Maastricht,netherlands,1,art/history museum,manual_override
City Museum Harderwijk,netherlands,1,art/history museum,provider_name
City Museum Prinsenhof,netherlands,1,art/history museum,provider_name
Museum Boijmans Van Beuningen,netherlands,1,art/history museum,provider_name
Institute for Tropical Scientific Research,portugal,65666,natural history/science institution,provider_name
National Library of Portugal,portugal,35785,library/archive,provider_name
Portuguese Army Library,portugal,13120,library/archive,provider_name
Azores Regional Directorate for Culture,portugal,5913,government/administrative body,manual_override
University of Porto,portugal,5111,academic/research institution,provider_name
Calouste Gulbenkian Foundation,portugal,3415,art/history museum,manual_override
MUDE – Museu do Design,portugal,1927,art/history museum,provider_name
Assembly of the Republic - Library,portugal,1663,library/archive,provider_name
