country,provider,count
Germany,Förderverein Sammlung Heinz Kirchhoff e.V.,224
Germany,Schleswig Folklore Museum,223
Germany,Ernst Busch University of Theatre Arts Berlin,219
Germany,Geomuseum of WWU,216
Germany,"Numismatic Collection, Berlin State Museums",208
Germany,Institute of Geometry of the Technical University of Dresden,201
Germany,Lindau Nobel Laureate Meetings,201
Germany,Ruhr University Bochum,194
Germany,District Archeology Rotenburg (Wümme),193
Germany,Museum of Cloth and Technology,185
Germany,Museum Schloss Herzberg,184
Germany,MONAliesA Feminist Library,181
Germany,Federal Archives of Germany,177
Germany,Schiffahrtsmuseum der oldenburgischen Unterweser e. V.,176
Germany,Women's City Archive Hamburg,176
Germany,Müllrose Local History Museum in the guest house,174
Germany,Artothek Eckernförde,171
Germany,Female gender library Saar,164
Germany,Institut für den Wissenschaftlichen Film,160
Germany,Village Museum Schacht-Audorf,159
Germany,Dat ole Hus,156
Germany,Terra Sigillata Museum,150
Germany,City Museum Schleswig,146
Germany,Heinrich-Heine-Institut und Schumann-Haus,137
Germany,Archaeological Museum of the University of Münster,132
Germany,Obernfeld Local History Museum,129
Germany,Umbruch image archive,126
Germany,Archive DENKtRÄUME/Hamburg women's library,125
Germany,District museums Alte Bischofsburg with Museum of the Thirty Years' War,121
Germany,School of Art and Design Kassel,108
Germany,Museums Jüterbog,103
Germany,HfG-Archive Ulm,102
Germany,Brandenburg Main and State Stud Foundation,100
Germany,"Paul Jerabek, Julian Hegemann, Andreas Authmann",99
Germany,House of the Wannsee Conference,98
Germany,Offenbach University of Art and Design,96
Germany,German Shoe Museum,96
Germany,Forum for Artists' Estates,93
Germany,"Natural History Museum, Bielefeld",92
Germany,Transmediale festival,92
Germany,Detlefsen Museum in Brockdorff-Palais,91
Germany,Europeana 1989,91
Germany,Heinz Nixdorf MuseumsForum,91
Germany,Darmstadt University of Applied Sciences,91
Germany,German Chair Making Museum,86
Germany,Sylter Heimatmuseum Söl'ring Foriining Sylter Verein e.V.,83
Germany,Portal zur Geschichte - Sammlung Frauenstift Gandersheim,82
Germany,Stiftung Deutsches Technikmuseum Berlin. Historisches Archiv,76
