provider,country,count,provider_category,classification_source
Dresden State Art Collections. Museum of Decorative Arts,Germany,4968,art/history museum,provider_name
Cinecittà - Luce,Italy,442536,audiovisual/film archive,provider_name
Historical Archive of the Presidency of the Republic,Italy,212160,library/archive,provider_name
National Central Library of Rome,Italy,200231,library/archive,provider_name
Internet Culturale,Italy,109101,library/archive,manual_override
"Department of Life Sciences, University of Trieste",Italy,101323,academic/research institution,provider_name
Epigraphic Database Roma,Italy,86827,academic/research institution,confirmed_fix
Cineteca di Bologna,Italy,73157,audiovisual/film archive,wikidata_description
Central Institute for the Union Catalogue of Italian Libraries,Italy,66672,library/archive,manual_override
Central Museum of the Risorgimento in Rome,Italy,53211,art/history museum,provider_name
Luigi Micheletti Foundation,Italy,51704,library/archive,wikidata_description
Experimental Cinematography Center,Italy,40538,audiovisual/film archive,manual_override
Epigraphic Dabatase Bari,Italy,40283,academic/research institution,confirmed_fix
European Library of Information and Culture,Italy,35475,library/archive,provider_name
Marciana National Library,Italy,29597,library/archive,provider_name
Turin Gallery for Modern and Contemporary Art,Italy,29395,art/history museum,provider_name
Braidense National Library,Italy,21526,library/archive,manual_override
Library of the S. Pietro a Majella Conservatory,Italy,20154,audiovisual/film archive,provider_name
Rossimoda Shoe Museum,Italy,13489,art/history museum,provider_name
Provincial Library Magna Capitana,Italy,13065,library/archive,provider_name
Estense University Library,Italy,12372,library/archive,provider_name
Missoni,Italy,12080,other,manual_override
Photographic Archive of the Civic Museums of Turin,Italy,11404,library/archive,provider_name
"New Manuscript Library, Veneto Region",Italy,11042,library/archive,provider_name
Pitti Immagine,Italy,10694,other,manual_override
Galileo Museum,Italy,9219,art/history museum,provider_name
The Central National Library of Florence,Italy,7790,library/archive,provider_name
Digital Library Trentino,Italy,7292,library/archive,provider_name
University Library of Genova,Italy,7063,library/archive,provider_name
Opera Institute of the Italian Vocabulary,Italy,6370,academic/research institution,manual_override
Museo della Carta di Pescia,Italy,5288,art/history museum,provider_name
Marucelliana Library,Italy,5225,library/archive,provider_name
University Library Of Pisa,Italy,5170,library/archive,provider_name
University of Padua,Italy,4168,academic/research institution,provider_name
Madama Palace,Italy,3825,art/history museum,provider_name
University of Pisa,Italy,3821,academic/research institution,provider_name
University of Padua - Botanical Garden Library,Italy,3612,library/archive,provider_name
Modern and Contemporary History Library,Italy,3543,library/archive,provider_name
Prato Textile Museum,Italy,3535,art/history museum,provider_name
Casanatense Library,Italy,3448,library/archive,provider_name
Querini Stampalia Foundation,Italy,3266,art/history museum,manual_override
Palatine Library,Italy,3216,library/archive,provider_name
State Archives of Campobasso,Italy,2930,library/archive,provider_name
Promoter Digital Gallery,Italy,2553,art/history museum,provider_name
Pitti Palace - Museum of Costume and Fashion,Italy,2499,art/history museum,provider_name
Alessandrina University Library,Italy,2129,library/archive,provider_name
Museum of Oriental Art,Italy,2041,art/history museum,provider_name
Brixiana,Italy,1886,library/archive,confirmed_fix
Superintendence for Cultural Heritage of the Autonomous Province of Trento,Italy,1863,government/administrative body,provider_name
The Institute of Heritage Sciences,Italy,1811,natural history/science institution,manual_override
Biblioteca Sportiva Nazionale,Italy,1487,library/archive,provider_name
State Library of the National Monument of Montecassino,Italy,1363,library/archive,provider_name
Library of the Cherubini Conservatory of Music,Italy,1328,audiovisual/film archive,provider_name
Library De Gemmis,Italy,1238,library/archive,provider_name
University of Bologna,Italy,1190,academic/research institution,provider_name
GoTellGo Cultural Association,Italy,1180,other,manual_override
Turin National University Library,Italy,1127,library/archive,provider_name
Polytecnic University of Milan - Computer Vision & Reverse Engineering Lab,Italy,1041,academic/research institution,provider_name
Byterfly,Italy,1017,library/archive,manual_override
Library of Archeology and History Of Art,Italy,966,library/archive,provider_name
Library of Archeology and History of Art,Italy,924,library/archive,provider_name
National Library of Potenza,Italy,860,library/archive,provider_name
Salvatore Ferragamo Museum,Italy,858,art/history museum,provider_name
Luigi Sturzo Institute,Italy,829,library/archive,wikidata_sparql_fallback
"Veneto Region, The Music Fund of St. Mary of Consolation in Venice",Italy,759,audiovisual/film archive,provider_name
National Library of the Girolamini Oratory,Italy,754,library/archive,provider_name
Pasquale Albino Library,Italy,723,library/archive,provider_name
Institute of Musical Studies Luigi Boccherini,Italy,703,audiovisual/film archive,provider_name
Municipality of Macerata,Italy,678,government/administrative body,provider_name
